FILE NAME,LABEL,FORMAT,SIZE,URL
COVID (1),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (2),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (3),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (4),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (5),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (6),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (7),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (8),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (9),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (10),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (11),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (12),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (13),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (14),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (15),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (16),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (17),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (18),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (19),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (20),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (21),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (22),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (23),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (24),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (25),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (26),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (27),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (28),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (29),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (30),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (31),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (32),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (33),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (34),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (35),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (36),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (37),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (38),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (39),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (40),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (41),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (42),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (43),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (44),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (45),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (46),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (47),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (48),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (49),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (50),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (51),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (52),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (53),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (54),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (55),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (56),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (57),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (58),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (59),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (60),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (61),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (62),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (63),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (64),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (65),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (66),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (67),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (68),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (69),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (70),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (71),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (72),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (73),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (74),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (75),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (76),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (77),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (78),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (79),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (80),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (81),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (82),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (83),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (84),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (85),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (86),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (87),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (88),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (89),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (90),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (91),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (92),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (93),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (94),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (95),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (96),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (97),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (98),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (99),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (100),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
Viral Pneumonia (1),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (2),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (3),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (4),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (5),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (6),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (7),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (8),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (9),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (10),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (11),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (12),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (13),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
